gvkey,conm,tic,cusip,cik,sic,naics,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001519,AMERICAN MUSIC STORES INC,AMUS.1,027663103,0000005505,5900,,C,01,LC,13443,257,1972-12-14,1977-06-30
001522,AMERICAN MEDICAL PRODUCTS CP,AMPC.,027902105,,3841,,P,01,LU,13451,235,1980-10-08,1982-06-30
001523,AMERICAN MEDICAL ALERT CORP,AMAC,027904101,0000700721,7380,561621,P,01,LU,13470,6743,1983-12-22,2011-12-30
001524,AMERICAN NATIONAL CORP-DEL,AMNL.,028542108,,6020,,C,01,LU,13478,22441,1972-12-14,1973-07-31
001525,AMERICAN NATL ENTERPRISES,AMNT.1,028546109,,7812,512110,C,01,LU,13486,230,1979-01-31,1986-11-28
001525,AMERICAN NATL ENTERPRISES,AMNT.1,028546109,,7812,512110,C,00X,LU,13486,230,1973-06-01,1979-01-30
001526,AMERICAN NATIONAL GROUP-OLD,ANAT,02772A109,0001801075,6311,524113,P,01,LC,13507,261,1972-12-14,2022-05-31
001527,AMERICAN NATIONAL PETROLEUM,ANPC.,028602209,0000350898,1311,211111,P,01,LU,13515,284,1981-06-05,1993-07-30
001528,AMERICAN NATURAL RESOURCES,ANR.2,028609105,0000720685,4922,,P,01,LU,24141,23259,1962-01-31,1985-05-31
001528,AMERICAN NATURAL RESOURCES,ANR.2,028609105,0000720685,4922,,C,00X,LU,24141,23259,1951-01-01,1962-01-30
001529,AMERICAN NETWORK INC,ANWI,028620102,,4813,513310,C,01,LC,85412,7452,1986-05-13,1988-05-27
001529,AMERICAN NETWORK INC,ANWI,028620102,,4813,513310,C,01,LC,85412,7452,1985-03-07,1986-02-02
001530,AMERICAN NUCLEAR CORP,3ANUCE,028663102,0000005550,9995,999990,C,01,LU,13523,290,1972-12-14,1994-05-06
001531,AMERICAN NUCLEONICS CORP,AMNU.,028671105,0000005549,3663,334220,P,01,LU,13531,5329,1982-03-10,1986-12-31
001532,AMERICAN OIL & GAS,AOG.2,028711109,0000746896,4923,221210,P,01,LU,64143,424,1982-01-29,1994-07-29
001532,AMERICAN OIL & GAS,AOG.2,028711109,0000746896,4923,221210,C,00X,LU,64143,424,1982-01-01,1982-01-28
001533,AMERICAN PACIFIC CORP,APFC,028740108,0000350832,2810,325180,P,01,LC,85439,975,1979-01-31,1981-09-27
001533,AMERICAN PACIFIC CORP,APFC,028740108,0000350832,2810,325180,P,01,LC,85439,975,1982-11-01,2014-02-26
001533,AMERICAN PACIFIC CORP,APFC,028740108,0000350832,2810,325180,C,00X,LC,85439,975,1973-10-01,1979-01-30
001534,AMERICAN PACIFIC INTL INC,APIC.1,028762102,0000005582,1311,,P,01,LU,13550,308,1975-12-09,1984-09-28
001535,AMERICAN PACEMAKER CORP,APMK,028778108,0000205024,3845,,P,01,LU,13558,316,1979-05-30,1982-09-30
001537,FINA INC  -CL A,FI.2,31734L101,0000005611,2911,324110,P,01,LU,29049,20094,1962-07-02,1998-08-31
001538,AMERICAN PHONEMETER  -CL A,3APHEE,028870103,,8731,541710,C,01,LU,13582,315,1982-01-29,1984-06-19
001539,AMERICAN PHYSICIANS SVC GP,AMPH.1,028882108,0000724024,6331,524126,P,01,LU,13603,6355,1983-09-01,2010-11-30
001540,AMERICAN PLAN CORP,APN.4,029033107,0000005632,6331,525190,C,01,LU,54236,25360,1979-01-31,1985-04-23
001540,AMERICAN PLAN CORP,APN.4,029033107,0000005632,6331,525190,C,00X,LU,54236,25360,1979-01-01,1979-01-30
001542,AMERICAN PRECISION INDS,APR.,029069101,0000005657,3621,335312,C,01,LU,46527,20095,1968-07-23,2000-03-31
001543,APL LTD,APL.4,00202M107,0000725457,4412,483111,P,01,LU,65111,20096,1983-09-19,1997-11-28
001544,AMERAC ENERGY CORP,AMC.2,023517303,0000005696,1311,211111,C,01,LC,13638,325,1987-06-15,1992-12-09
001544,AMERAC ENERGY CORP,AMC.2,023517303,0000005696,1311,211111,C,01,LC,84641,325,1997-03-18,1998-01-28
001544,AMERAC ENERGY CORP,AMC.2,023517303,0000005696,1311,211111,C,01,LC,13638,325,1972-12-14,1985-10-01
001545,AMERICAN REALTY INVESTORS,ARL,029174109,0001102238,6512,531120,P,03,LU,49322,20098,1981-01-30,E
001545,AMERICAN REALTY INVESTORS,ARL,029174109,0001102238,6512,531120,C,00X,LU,49322,20098,1973-10-01,1981-01-29
001546,AMERICAN RECREATION CENTERS,AMRC.1,029195104,0000005719,7900,713950,P,01,LC,13646,240,1972-12-14,1997-04-24
001547,AMERICAN RECREATION GROUP,ARG.3,029197100,,5040,,P,01,LU,53014,25291,1971-08-16,1975-11-28
001549,AMERICAN RESOURCES GROUP INC,3ARGP,029269107,0000225255,5080,,C,01,LU,13689,3349,1979-01-31,1982-11-10
001550,AMERICAN RESOURCES MGMT CORP,ARMCE,029274107,0001415813,1311,211111,P,01,LU,13697,342,1979-01-31,1984-05-31
001551,HUDSONS GRILL AMER,3HDSGE,444223101,0000729545,6794,533110,C,01,LC,13718,6833,1984-02-03,1988-08-08
001552,AMERICAN SAFETY EQUIP CORP,ASQ.1,029357100,,3714,,P,01,LU,40045,24429,1964-03-31,1978-07-31
001553,AMERICAN SVGS/FL FSB,ASFL,02941H308,0000718111,6035,522120,C,01,LC,76300,373,1990-07-03,1995-06-30
001553,AMERICAN SVGS/FL FSB,ASFL,02941H308,0000718111,6035,522120,C,00X,LC,60863,373,1978-10-01,1978-10-30
001553,AMERICAN SVGS/FL FSB,ASFL,02941H308,0000718111,6035,522120,C,01,LC,60863,373,1978-10-31,1988-04-29
001554,AMERICAN SCIENCE ENGINEERING,ASEI,029429107,0000005768,3844,334517,P,01,LC,58560,82,1972-12-14,2016-09-09
001555,AMERICAN SEATING CO,AMZ.2,029465101,0000866216,2520,,P,01,LU,16141,22663,1962-01-31,1983-01-31
001555,AMERICAN SEATING CO,AMZ.2,029465101,0000866216,2520,,C,00X,LU,16141,22663,1950-01-01,1962-01-30
001556,AMERICAN SECURITY CORP,ASEC.,029544202,0000005796,6020,522110,P,01,LU,13734,367,1976-04-07,1987-03-13
001559,AMERICAN SHARED HSPTL SERV,AMS,029595105,0000744825,8090,621999,P,01,LU,13769,7119,1984-07-03,E
001560,AMERICAN SHIP BUILDING CO,3ASBG,029609104,0000005818,3730,3366,C,01,LU,15974,20099,1963-08-30,1993-11-09
001560,AMERICAN SHIP BUILDING CO,3ASBG,029609104,0000005818,3730,3366,C,00X,LU,15974,20099,1949-07-01,1963-08-29
001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,029683109,0000713425,7372,513210,P,01,LU,13777,5828,1983-02-28,E
001563,AMERICAN SOFTWARE TECHNOLOGY,4511B,029684206,0000723264,5734,443120,P,01,LU,13785,6510,1983-10-18,1985-10-31
001564,ASK CORPORATION,ASKCD,00206E200,0000314202,3433,333414,P,02,LU,13793,246,1980-06-30,1991-01-31
001567,TRANE INC,TT.2,892893108,0000836102,3585,333415,C,02,LC,10372,22187,1962-01-31,1988-07-01
001567,TRANE INC,TT.2,892893108,0000836102,3585,333415,C,00X,LC,10372,22187,1950-01-01,1962-01-30
001567,TRANE INC,TT.2,892893108,0000836102,3585,333415,C,02,LC,81285,30847,1995-02-03,2008-06-05
001568,AMERICAN PUBLIC ENERGY CO,AEN.1,029900107,0000319453,1311,,P,01,LC,63431,25711,1981-12-11,1982-09-15
001569,AMERICAN SPORTS ADVIS,3PIKS,029901204,0000350190,5090,4219,C,02,LU,13822,3572,1981-03-23,1987-06-11
001571,AMERICAN STERILIZER CO,ASZ.2,030087100,0000005870,3842,,P,01,LU,42905,24642,1966-01-17,1985-02-28
001572,AMERICAN STORES CO  -OLD,ASE.2,030095103,,5411,,C,00X,LU,17558,22787,1950-04-01,1962-01-30
001572,AMERICAN STORES CO  -OLD,ASE.2,030095103,,5411,,P,01,LU,17558,22787,1962-01-31,1979-07-31
001573,AMERICAN STORES CO,ASC.1,030096101,0000090811,5411,445110,P,01,LC,44652,20101,1967-06-28,1999-06-23
001574,AMERICAN STRATEGIC METALS,4308B,030100101,0000717037,3341,331492,P,01,LU,13849,7193,1984-08-21,1985-04-30
001575,AMERICAN SURGERY CENTERS CP,3SRGY,030114102,,9995,999990,C,01,LU,13857,4233,1980-10-29,1987-06-10
001577,AMERICAN TECHNICAL CERAMICS,AMK.2,030137103,0000766430,3670,334414,P,01,LU,69200,20102,1985-06-28,2007-09-28
001578,AMERICAN TECHNICAL IND,ATM.2,030141105,,3990,,C,01,LU,46498,24885,1968-07-15,1980-11-24
001579,AMERICAN TELECOMMUNICTNS-OLD,AMTL.,030154108,,3661,,P,01,LU,13865,22478,1972-12-14,1978-11-30
001581,AT&T CORP,T.2,001957505,0000005907,4813,517110,P,01,LC,10401,20103,1962-01-31,2005-11-18
001581,AT&T CORP,T.2,001957505,0000005907,4813,517110,C,00X,LC,10401,20103,1950-01-01,1962-01-30
001582,AMERICAN TV & COMMUNICATION,AMTV.,030186100,0000893769,4841,,P,01,LU,13873,22480,1972-12-14,1978-11-30
001583,AMERICAN TELNET CORP,3ATLN,030188106,0000314306,7812,512110,C,01,LU,13881,4493,1980-05-01,1984-01-27
001584,AMERICAN UNDERWRITERS GROUP,AUND20,030341200,0000005951,6411,524210,C,00X,LU,13902,409,1981-01-01,1981-01-29
001584,AMERICAN UNDERWRITERS GROUP,AUND20,030341200,0000005951,6411,524210,C,01,LU,13902,409,1981-01-30,1987-04-30
001585,AMERICAN VANGUARD CORP,AVD,030371108,0000005981,2870,325320,P,01,LU,11144,9002,1987-03-02,E
001586,AMERICAN VISION CENTERS INC,3AMVC,030383103,0000277592,5990,453,P,01,LC,13945,258,1979-06-25,1990-07-30
001587,AMERICAN WATER WORKS INC,AWK.1,030411102,0000318819,4941,221310,P,01,LU,23544,20104,1968-01-31,2003-01-31
001587,AMERICAN WATER WORKS INC,AWK.1,030411102,0000318819,4941,221310,C,00X,LC,23544,20104,1968-01-01,1968-01-30
001588,AMERICAN WELDING & MFG CO,AWLD.,030447106,0000006009,3728,,P,01,LU,13953,423,1972-12-14,1982-10-15
001589,AMERICAN WESTERN CORP (NEW),AWST,030475107,0000723198,2673,322223,C,00X,LU,13961,425,1974-01-01,1978-01-30
001589,AMERICAN WESTERN CORP (NEW),AWST,030475107,0000723198,2673,322223,P,01,LU,13961,425,1978-01-31,1990-03-30
001590,AMERICANA HOTELS & REALTY CP,3AHTC,030562102,0000356959,6798,525930,C,00X,LU,64696,5663,1983-01-01,1983-01-30
001590,AMERICANA HOTELS & REALTY CP,3AHTC,030562102,0000356959,6798,525930,P,01,LU,64696,5663,1983-01-31,1997-02-18
001593,AMERON INTERNATIONAL CORP,AMN.2,030710107,0000790730,3270,327390,P,01,LU,50091,20105,1970-02-17,E
001594,AMES DEPT STORES INC,AMESQ,030789507,0000006071,5331,452990,C,01,LC,44548,20106,1967-06-07,1992-09-04
001594,AMES DEPT STORES INC,AMESQ,030789507,0000006071,5331,452990,C,01,LC,78120,20106,1993-04-22,2001-08-20
001595,AMERITRUST CORP-OLD,AMTR.,030900104,0000020972,6020,522110,P,01,LU,13980,253,1972-12-14,1992-03-31
001596,AMERIFIN CORP,AFN.3,030901102,0000046741,6799,,P,01,LU,25873,23368,1962-01-31,1984-10-17
001597,AMERIHEALTH INC/DE,AHH.,030912109,,8062,622110,C,01,LU,13988,6725,1984-01-31,1994-12-30
001597,AMERIHEALTH INC/DE,AHH.,030912109,,8062,622110,C,00X,LU,13988,6725,1984-01-01,1984-01-30
001598,AMETEK INC,AME,031100100,0001037868,3823,334513,P,01,LC,85257,32054,1997-08-08,E
001598,AMETEK INC,AME,031100100,0001037868,3823,334513,P,01,LC,10460,20188,1962-01-31,1997-07-31
001598,AMETEK INC,AME,031100100,0001037868,3823,334513,C,00X,LC,10460,20188,1950-01-01,1962-01-30
001599,AMFAC INC,AMA.1,031141104,0000006097,5122,422210,P,01,LC,45217,24806,1967-10-20,1988-11-18
001600,NEW AMERICAN SHOE CO,NASO.,641890108,0000832474,3021,316211,C,01,LU,75303,21271,1988-05-17,1991-05-23
001602,AMGEN INC,AMGN,031162100,0000318154,2836,325414,P,01,LU,14008,216,1983-06-17,E
001603,AMHERST ASSOCIATES INC,AASI.,031180102,0000719158,7372,,P,01,LU,14016,6055,1983-06-08,1985-02-28
001604,AMICON CORP,AMIC.,031517105,0000215101,3826,,P,01,LU,14024,218,1980-12-23,1983-03-10
001606,AMISTAR CORP,AMTA,031535107,0000741559,3559,333298,C,01,LC,14059,7028,1984-05-11,2005-09-09
001608,AMP INC,AMP.2,031897101,0000006164,3678,334417,P,01,LC,27051,23449,1962-01-31,1999-04-01
001608,AMP INC,AMP.2,031897101,0000006164,3678,334417,C,00X,LC,27051,23449,1950-01-01,1962-01-30
001609,AMOCO CORP,AN.2,031905102,0000093397,2911,324110,C,00X,LU,19553,20191,1950-01-01,1962-01-30
001609,AMOCO CORP,AN.2,031905102,0000093397,2911,324110,P,01,LU,19553,20191,1962-01-31,1998-12-31
001610,AMPAD CORP,AMPD.,032009102,0000723441,2670,3222,P,01,LU,14104,6372,1983-09-13,1987-01-30
001611,AMPAL-AMERICAN ISRAEL CORP,AMPLQ,032015703,0000731859,5160,4246,C,01,LU,64864,238,1979-11-20,2019-07-31
001612,AMPCO METAL INC,AML.2,032033102,0000006175,3390,,P,01,LU,45540,24827,1967-12-21,1970-12-31
001613,AMPCO-PITTSBURGH CORP,AP,032037103,0000006176,3312,331110,P,01,LU,18075,20192,1965-12-31,E
001613,AMPCO-PITTSBURGH CORP,AP,032037103,0000006176,3312,331110,C,00X,LU,18075,20192,1960-01-01,1965-12-30
001614,AMPEX CORP,APX.3,032087108,0000006182,3651,454390,P,01,LC,26673,23422,1962-01-31,1980-12-31
001615,AMPLICA INC,AMPI.,032098105,0000353577,3663,,P,01,LC,14112,237,1981-07-22,1981-12-31
001616,AMPOWER TECHNOLOGIES INC,APOW,032145104,0000354150,3577,334119,C,01,LU,14139,5216,1981-12-03,1986-11-17
001617,AMQUEST CORP,4052B,032147100,0000357067,1311,211111,P,01,LC,63431,25711,1982-09-16,1984-05-15
001618,AMREP CORP,AXR,032159105,0000006207,6552,237210,P,01,LU,38746,20193,1966-01-31,E
001619,AMSOUTH BANCORPORATION,ASO.1,032165102,0000003133,6020,522110,C,01,LU,62770,25,1972-12-14,2006-11-30
001620,AMSTAR CORP,4072A,032173007,0000807711,3540,3335,C,00X,LU,10479,22194,1950-01-01,1962-01-30
001620,AMSTAR CORP,4072A,032173007,0000807711,3540,3335,P,01,LU,10479,22194,1962-01-31,1984-02-08
001623,AMSTED INDUSTRIES,4936C,032177107,0000006216,3320,221320,P,01,LU,10487,22195,1962-01-31,1986-06-30
001623,AMSTED INDUSTRIES,4936C,032177107,0000006216,3320,221320,C,00X,LU,10487,22195,1949-10-01,1962-01-30
001624,AMTECH RESOURCES INC,ARII.1,032331100,0000106106,1311,211111,C,01,LC,14155,4911,1981-03-31,1986-01-06
001625,AMTEL INC,ATI.2,032339103,0000006229,5172,,P,01,LC,47570,24950,1969-01-27,1977-12-31
001626,AMTERRE DEVELOPMENT,AMTD.1,032342107,,6512,,C,01,LU,14163,251,1972-12-14,1981-03-09
001627,ANACOMP INC,ANCPA,03237E108,0000006260,7370,541519,C,01,LC,83841,14921,1996-08-21,2000-09-29
001627,ANACOMP INC,ANCPA,03237E108,0000006260,7370,541519,C,01,LC,64151,265,1974-03-14,1996-01-05
001628,ANACONDA CO,A.2,032393100,,3310,212111,P,01,LC,10495,22196,1962-01-31,1976-12-31
001628,ANACONDA CO,A.2,032393100,,3310,212111,C,00X,LC,10495,22196,1950-01-01,1962-01-30
001630,ANADITE INC,ADIT,032519100,0000006273,3460,332,P,01,LU,14190,67,1972-12-14,1986-12-31
001631,ANAEROBIC ENERGY SYSTEMS INC,AESI.1,032526105,0001119245,3569,,P,01,LC,73438,86,1980-11-20,1983-04-18
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,334413,P,01,LC,60871,282,1972-12-14,E
001633,ANALOGIC CORP,ALOG,032657207,0000006284,3845,334510,C,01,LU,14198,173,1972-12-14,2018-06-29
001634,ANALYSTS INTERNATIONAL CORP,ANLY,032681207,0000006292,7371,541511,P,01,LC,14219,283,1976-07-21,2013-10-31
001635,ANAREN INC,ANEN,032744104,0000006314,3663,334220,C,00X,LU,14227,275,1973-07-01,1979-01-30
001635,ANAREN INC,ANEN,032744104,0000006314,3663,334220,P,01,LU,14227,275,1979-01-31,2014-02-28
001638,ANCHOR HOCKING CORP,ARH.1,033047101,0000006332,3220,3272,P,01,LU,17240,22759,1962-01-31,1987-06-30
001638,ANCHOR HOCKING CORP,ARH.1,033047101,0000006332,3220,3272,C,00X,LU,17240,22759,1950-01-01,1962-01-30
001639,ANCORP NATIONAL SERVICES INC,ANCP,033330101,0000006368,5812,,C,00X,LC,18702,267,1975-11-20,1978-01-30
001639,ANCORP NATIONAL SERVICES INC,ANCP,033330101,0000006368,5812,,C,01,LC,18702,267,1978-01-31,1979-02-21
001639,ANCORP NATIONAL SERVICES INC,ANCP,033330101,0000006368,5812,,C,00X,LC,18702,267,1973-01-01,1975-04-03
001640,ANDAL CORP,3ADLN,033352204,0000070262,9995,999990,C,01,LU,54375,20195,1972-03-14,1992-10-19
001641,MOSCOW CABLECOM CORP,MOCC,61945R100,0000006383,4899,517910,P,01,LU,14286,270,1972-12-14,2007-07-31
001642,CROWN ANDERSEN INC,CRAN,228190104,0000778808,3564,333411,C,01,LC,87119,7484,1986-08-01,2004-10-28
001643,ANDERSON CLAYTON & CO,AYL.1,033609207,0000006410,2040,3112,C,00X,LC,22277,23131,1949-08-01,1962-01-30
001643,ANDERSON CLAYTON & CO,AYL.1,033609207,0000006410,2040,3112,C,99X,LC,22277,23131,1986-10-01,1986-10-29
001643,ANDERSON CLAYTON & CO,AYL.1,033609207,0000006410,2040,3112,P,01,LC,22277,23131,1962-01-31,1986-09-30
001644,ANDERSON ELECTRIC CORP,AEL.1,033825100,0000200027,3613,,C,00X,LC,41056,24508,1964-09-03,1968-12-31
001645,ANDERSON GREENWOOD & CO,AGV.1,033849100,0000006432,3490,332,P,01,LU,63861,268,1973-01-31,1986-07-31
001646,ANDERSON INDUSTRIES INC,ANDS.1,034042101,0000006435,3448,,P,01,LU,14307,271,1977-05-31,1986-06-30
001647,ANDERSON JACOBSON INC,AJ.1,034046102,,3661,334210,P,01,LU,61276,146,1972-12-14,1988-08-31
001649,ANDOVER CONTROLS CORP,ANDO,034270108,0000726637,3822,334512,P,01,LC,14315,6591,1983-11-15,1989-07-27
001650,ANDREA ELECTRONICS CORP,ANDR,034393108,0000006494,3663,334220,P,01,LU,29073,20196,1962-07-02,2004-12-15
001651,ANDREW CORP,ANDW,034425108,0000317093,3357,335929,P,01,LU,14323,272,1980-06-19,2007-12-31
001652,ANDROS INC,ANDY,034528109,0000352425,3829,334519,P,01,LU,14331,273,1981-05-26,1996-05-31
001653,ANDY GARD CORP,AGD.2,034555102,0000006550,3089,,P,01,LU,39888,24416,1966-01-31,1971-02-26
001654,ANGELES CORP,ANGC,034624403,0000316315,6513,531110,C,00X,LU,65867,278,1974-01-01,1980-01-30
001654,ANGELES CORP,ANGC,034624403,0000316315,6513,531110,C,01,LU,65867,278,1980-01-31,1993-05-28
001655,ANGELICA CORP,AGL.1,034663104,0000006571,7200,812331,P,01,LC,45583,20199,1968-01-10,2008-08-04
001656,IQUNIVERSE INC,IQUN,46264Y109,0000716399,9995,999990,C,02,LC,76878,11022,1991-07-15,1994-06-08
001657,ANGIOMEDICS INC,AGMD,034757104,0000724705,3841,339112,P,01,LU,14374,7180,1984-08-13,1987-01-30
001658,ANIMED INC,3VTESE,034903104,0000773936,8734,541380,C,01,LU,21398,6922,1984-03-14,1989-11-07
001659,ANDERSONS INC,ANDE,034164103,0000821026,5150,424510,P,01,LU,83112,14382,1996-02-20,E
001661,NABORS INDUSTRIES LTD,NBR,G6359F137,0001163739,1381,213111,P,01,LC,29102,20201,1968-01-31,E
001662,ANGSTROM TECHNOLOGIES INC,AGTT,035203108,0000725774,2890,325,C,01,LU,14430,7072,1984-06-04,1986-11-17
001663,ANHEUSER-BUSCH COS INC,BUD.2,035229103,0000310569,2082,312120,P,01,LC,59184,29,1972-12-14,2008-11-17
001664,ANITEC IMAGE TECHNOLOGY CORP,ANTC.,035282102,0000766705,3861,333315,P,01,LC,85535,7555,1985-05-23,1987-12-17
001665,ANIXTER BROS INC,ANX.1,035285105,,5063,421610,P,01,LC,57920,280,1972-12-14,1986-12-31
001666,ANKEN INDUSTRIES,ANK.1,035310101,,3861,,C,01,LU,58149,281,1962-07-02,1979-07-31
001667,ANNANDALE CORP,ANNAE,035712108,0000318499,8742,541611,P,01,LU,14438,3022,1980-11-05,1991-09-30
001669,BIW LTD,BIW,05547U102,0001169237,4941,221310,P,01,LU,77828,27605,1992-07-31,2008-01-31
001671,ANSUL CO,AFX.1,036627107,0000006699,3569,,P,01,LU,29137,23601,1962-07-02,1979-01-31
001672,ANTA CORP,ANA.2,036628105,0000006701,3350,,P,01,LC,63458,286,1973-10-17,1985-04-11
001673,ANTARES OIL CORP,ANTS.,036640209,0000006706,1311,211111,P,01,LU,14446,289,1979-04-27,1985-09-30
001674,ANTEX CORP,NTEX,036730109,0000087497,3530,3339,C,00X,LU,56881,7324,1976-01-01,1981-01-29
001674,ANTEX CORP,NTEX,036730109,0000087497,3530,3339,C,01,LU,56881,7324,1981-01-30,1986-11-17
001675,ANTHEM ELECTRONICS INC,ATM.1,036732105,0000727120,5065,421690,P,01,LU,64397,288,1980-03-04,1994-11-30
001677,K2 INC,KTO,482732104,0000006720,3949,339920,C,01,LU,29145,20202,1962-07-02,2007-08-31
001678,APA CORP,APA,03743Q108,0001841666,1311,2111,P,01,LC,39490,20204,1964-01-31,E
001679,APACHE ENERGY&MINERALS,3AENME,037460201,0000315645,6792,,P,01,LU,14462,298,1980-07-14,1984-11-30
001680,APACHE PETROLEUM  -LP,6056B,037463205,0000769529,1311,211111,C,01,LC,66448,25763,1981-02-27,1988-10-12
001681,APOLLO SOLAR ENERGY INC,ASOE,037637105,0000726435,3330,331410,C,01,LC,87194,7288,1986-02-03,1987-10-08
001682,APCO OIL AND GAS INTL INC,APAGF,G0471F109,0000311471,1311,211111,P,01,LC,78231,26215,1985-06-28,2015-01-30
001683,APCO OIL CORP,AOL.1,037519105,0000006811,2911,,C,01,LU,28230,23529,1963-12-31,1978-05-31
001684,APEXCO INC,APXO,037594108,0000006831,1311,,P,01,LC,14510,324,1973-07-09,1976-12-31
001686,APOGEE ENTERPRISES INC,APOG,037598109,0000006845,3442,332321,P,01,LU,14526,317,1973-01-31,E
001687,APOLLO INDUSTRIES INC-ME,3APOIE,037609104,,8711,541330,C,00X,LU,29153,318,1976-06-01,1979-06-28
001687,APOLLO INDUSTRIES INC-ME,3APOIE,037609104,,8711,541330,C,01,LU,29153,318,1979-06-29,1987-12-28
001688,APOLLO LASERS INC,APLE.1,037619103,0000006857,3690,,P,01,LU,14569,313,1979-01-31,1981-08-31
001688,APOLLO LASERS INC,APLE.1,037619103,0000006857,3690,,C,00X,LU,14569,313,1973-10-01,1979-01-30
001690,APPLE INC,AAPL,037833100,0000320193,3663,334220,P,01,LU,14593,7,1980-12-12,E
001691,APPLEBAUMS FOOD MARKET INC,APPL.,037897105,,5411,,P,01,LU,14606,22540,1972-12-14,1979-07-31
001692,APOLLO COMPUTER INC,APCI.,037904109,0000714277,3571,334111,P,01,LU,14614,5836,1983-03-03,1989-05-31
001693,APPLIED BIOSYSTEMS INC -OLD,8346B,037906104,0000719545,3826,334516,P,01,LU,14622,6115,1983-06-29,1993-02-26
001694,APPLIED COMMUNICATIONS INC,ACIS,037908100,0000317229,7372,511210,P,01,LU,14649,6147,1983-07-07,1986-07-31
001695,TOWNE PAULSEN INC,TOWN.1,892146101,0000721671,2834,325412,P,01,LU,14657,6264,1983-08-04,1988-09-02
001696,APPLIED DATA COMMUNICATIONS,3ADCC.,037910106,0000728398,3559,333298,P,01,LC,14665,6597,1983-11-18,1989-12-28
001697,APPLICON INC,APPL.1,038144101,0000225049,7373,,P,01,LC,14673,319,1980-07-22,1981-12-31
001699,APPLIED DATA RESEARCH INC,ADR.2,038159109,0000006928,7372,511210,P,01,LU,48813,25025,1969-07-24,1986-01-31
001700,APPLIED DEVICES,4029B,038177200,0000006931,3690,,C,01,LU,29161,64,1966-01-31,1981-09-23
001700,APPLIED DEVICES,4029B,038177200,0000006931,3690,,C,00X,LU,29161,64,1965-11-01,1966-01-30
001701,APPLIED DIGITAL DATA SYSTEMS,ADS.3,038186102,,3575,,P,01,LU,59491,63,1972-12-14,1980-10-31
001703,APPLIED MAGNETICS CORP,IVMX,45771R201,0000006948,3679,334419,C,01,LU,52804,20206,1971-07-13,2000-01-07
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,333242,P,01,LU,14702,194,1972-12-14,E
001705,SINO SHIPPING HOLDINGS INC,SSHZ,82935Q100,0000312258,4412,483111,C,01,LC,14729,210,1980-01-31,1986-07-15
001706,ENERPAC TOOL GROUP CORP,EPAC,292765104,0000006955,3533,333132,P,01,LC,11581,323,1987-08-05,E
001707,APPLIED SOLAR ENERGY CORP,SOLR.2,038239109,0000311882,3674,334413,P,01,LU,14737,4192,1979-09-14,1992-03-31
001710,AQUILA RESOURCES LTD,AQRLF,03839L104,,1040,21222,C,01,LC,78234,26144,1982-11-01,1984-09-13
001711,AQUITAINE CO CANADA LTD,AQC,038402103,,1311,,P,01,LU,49066,25043,1969-08-25,1981-09-30
001712,TRECORA RESOURCES,TREC,894648104,0000007039,2911,324110,C,01,LU,14761,352,1976-01-30,2022-06-30
001712,TRECORA RESOURCES,TREC,894648104,0000007039,2911,324110,C,00X,LC,14761,352,1976-01-01,1976-01-29
001713,ARACCA PETROLEUM CORP,3ARAC,038492104,0000317173,6792,533110,C,01,LU,14780,329,1980-09-15,1986-08-13
001714,ARAPAHO PETROLEUM INC,7266B,038655106,0000007047,1311,211111,P,01,LU,14788,339,1979-01-31,1987-09-30
001717,AQUACULTURE PRODUCTION TECH,4309B,038903100,,0200,112,C,01,LU,14796,328,1980-11-19,1984-09-04
001718,ADVANCED OXYGEN TECHNOLOGY,AOXY,00754B301,0000352991,6512,531120,C,01,LU,14809,326,1982-01-29,1994-07-21
001719,AQUA SOL INC,AQSLE,038907101,0001052673,3585,,P,01,LU,14817,6064,1984-06-08,1986-01-31
001720,ARCATA CORP,ACA.2,039375100,,2750,,P,01,LU,49891,25095,1970-01-28,1982-06-30
001721,ARCH PETROLEUM INC,ARCH.2,03939B105,0000722144,5172,422720,P,01,LC,79760,4981,1983-08-31,1998-08-17
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,31122,P,01,LC,10516,20207,1962-01-31,E
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,31122,C,00X,LC,10516,20207,1949-07-01,1962-01-30
001723,ARCHIE ENTERPRISES INC,ARCH.1,039529102,0000007097,2721,,C,00X,LU,14825,331,1973-02-01,1978-01-30
001723,ARCHIE ENTERPRISES INC,ARCH.1,039529102,0000007097,2721,,P,01,LU,14825,331,1978-01-31,1983-01-31
001724,ARCHIVE CORP,ACHV.1,039575105,0000731655,3572,334112,P,01,LU,14833,6721,1983-12-16,1993-01-29
001725,ARCHON INC,AHON,039579206,0000007105,2834,,C,01,LU,14841,127,1972-12-14,1978-01-31
001727,ARCS EQUITIES CORP,AREQ,039663109,0000007118,7389,,P,01,LU,14860,333,1972-12-14,1975-01-31
001728,ARDEN GROUP INC  -CL A,ARDNA,039762109,0000225051,5411,445110,P,01,LC,14868,332,1978-01-01,2014-02-28
